stories_id,url,reported_publication_date,actual_publication_date,correct_guess
91605913,http://www.huffingtonpost.com/jillian-michaels/california-prop-37_b_1979841.html,10/18/2012 18:21:57,10/18/2012 18:17:44,0
100979886,http://www.presstelegram.com/opinions/ci_21932576/opinion-prop-30-32-campaigns-money-mystery-deepens,2/28/2013 17:00:00,11/5/2012 18:24:53,0
100988018,http://www.beyondchron.org/articles/Voters_Begin_Restoring_California_Dream_10680.html,2/28/2013 17:00:00,11/7/2012,0
100994195,http://sandiegofreepress.org/2012/11/the-starting-line-a-very-good-night-for-progressives-in-san-diego-and-california/,11/7/2012 17:00:00,11/7/2012,0
101037679,http://www.dailytitan.com/2012/10/proposition-34-weighing-costs-of-the-death-penalty/,10/16/2012,10/16/2012,1
101037718,http://election2012.usc.edu/2012/10/divided-on-death-penalty.html,10/30/2012,10/30/2012,1
101044210,http://www.thecrimereport.org/news/inside-criminal-justice/2012-11-2012-ballot-initiatives,11/5/2012 17:00:00,11/5/2012 10:45:10,0
101082035,http://adultbizlaw.com/the-california-public-defenders-association-is-against-prop-35/,9/14/2012,9/14/2012,1
101083039,http://rhughes.com/dollardollarbill/index.php?race=PROP35,3/2/2013 7:23:17,inapplicable,0
101098698,http://roseville-ca.patch.com/articles/california-state-propositions-election-results-2012,11/7/2012 17:00:00,unavailable,0
101101294,http://buddyhuggins.blogspot.com/2012/10/whole-foods-full-of-gmos-big-fat-liars.html#.UHOaV0018TY,1/22/2013 17:00:00,10/6/2012 20:53:00,0
101101309,http://www.sacramentoblog.org/genetically-modified-food-debate-muted-in-generally-accepting-science-community/,10/6/2012,unavailable,0
101102434,http://pienpolitics.com/?p=12378,10/13/2012,10/13/2012,1
101102928,http://dissidentvoice.org/2012/10/nature-and-choice-the-battle-over-proposition-37/,10/16/2012,10/16/2012,1
101103095,http://moo-organicsays.blogspot.com/2012/10/more-gmos-on-way.html,10/18/2012,10/18/2012 03:58:00,1
101103740,http://agreenzone.com/prop-37-californias-gmo-labeling-law-gaining-momentum/,3/2/2013 16:19:08,10/19/2012 3:58:00,0
101105052,http://etakagi.blogspot.com/2012/10/current-event-4.html,10/26/2012,10/26/2012 17:27:00,0
101106739,http://www.aboutmyplanet.com/environment/how-big-ag-is-spinning-gmo-labeling/,10/31/2012,10/31/2012,1
101108706,http://www.activistpost.com/2012/11/prop-37-to-label-gmo-foods-fails-in.html,11/7/2012 17:00:00,11/7/2012 17:09:00,0
101110020,http://www.bhspaw.com/2012/11/prop-37-failed-but-found-support-in-alameda-county-local-in-oakland-an-sfgate-com-blog/,11/9/2012 17:00:00,unavailable,0
101110542,http://www.prisonplanet.com/vote-fraud-who-destroyed-prop-37-on-election-night.html,11/11/2012 17:00:00,11/11/2012 20:01:00,0
101142491,http://www.neontommy.com/news/2012/09/prop-37,9/25/2012,9/26/2012 4:00:00,0
101160135,http://alternativeenergyhub.com/alternative-energy/california-proposition-39-will-provide-funding-for-clean-energy-sustainability-and-energy-efficiency-projects/,7/31/2013 22:00:00,unavailable,0
101160275,http://mountainview.patch.com/articles/california-state-propositions-election-results-2012,11/7/2012 17:00:00,unavailable,0
101160670,http://millvalley.patch.com/articles/what-you-need-to-know-about-prop-39-a-tax-hike-for-multistate-corporations,10/22/2012,10/20/2012 2:55:57,0
101161328,http://diaryofahollywoodstreetking.com/dont-let-uncle-sam-be-our-peeping-tom-say-no-to-measure-b/,2/21/2013 17:00:00,11/6/2012 3:45:00,0
101183037,http://mustangdaily.net/tag/liz-chapin/,3/1/2013 17:00:00,inapplicable,0
102947967,http://magic-ex.livejournal.com/8340.html,12/7/2011 17:00:00,12/7/2011 19:25:00,0
103054154,http://ligaclub.livejournal.com/,1/27/2012 15:09:57,inapplicable,0
103591908,http://www.ridus.ru/news/20692/,2/5/2012 0:52:10,2/4/2012 15:53:00,0
103602325,http://ru-opposition.livejournal.com/6923957.html?mode=reply,2/17/2012 15:05:32,2/17/2012 18:51:00,0
103641058,http://ru-opposition.livejournal.com/7100423.html?mode=reply,3/16/2012 15:17:12,3/16/2012 19:17:00,0
103758773,http://irek-murtazin.livejournal.com/621696.html?replyto=15459456,2/1/2012 17:00:00,2/1/2012 8:00:00,0
103777234,http://www.ridus.ru/news/16349/,12/24/2011 13:38:26,12/24/2011 17:50:00,0
103789463,http://schnause.livejournal.com/144413.html,4/7/2012 13:55:46,4/7/2012 21:22:00,0
103804409,http://alex-serdyuk.livejournal.com/6838980.html?mode=reply#add_comment,1/12/2012 6:59:33,1/12/2012 10:59:00,0
103804442,http://varfolomeev.livejournal.com/653967.html?thread=24290703#t24290703,2/19/2012 17:00:00,unavailable,0
103852946,http://vetumtrud.livejournal.com/512119.html?mode=reply#add_comment,2/4/2012 12:48:50,2/4/2012 16:06:00,0
103877835,http://anybodyhelp.livejournal.com/1058.html,2/6/2012 17:00:00,2/6/2012 14:53:00,0
103880968,http://krylov.livejournal.com/2539429.html?thread=121284773#t121284773,5/9/2012,5/9/2012 14:49:00,0
103889662,http://www.kavkaz-uzel.ru/articles/200385/,2/4/2012 3:40:00,2/2/2012 13:34:00,0
103945141,http://leon-orr.dreamwidth.org/1184098.html,2/15/2012 17:00:00,2/15/2012 16:55:00,0
103960279,http://avmalgin.livejournal.com/2872899.html?thread=95930691#t95930691,1/23/2012 13:27:00,1/23/2012 14:34:00,0
103970075,http://newsru.com/russia/27jan2012/chubays.html#2,1/27/2012 21:38:40,1/27/2012 21:27:00,0
103983245,http://irek-murtazin.livejournal.com/619713.html?thread=15397057#t15397057,1/28/2012 17:00:00,1/28/2012 11:47:00,0
103984026,http://solidarnost-lj.livejournal.com/2186011.html?thread=27300123#t27300123,2/29/2012 22:08:52,2/29/2012 22:41:00,0
104050582,http://irek-murtazin.livejournal.com/621696.html?replyto=15440512,2/1/2012 17:00:00,2/1/2012 8:00:00,0
104053876,http://lgbt-grani.livejournal.com/1248433.html?thread=6773681#t6773681,12/21/2011 17:00:00,12/21/2011 11:08:00,0
104054339,http://markii.livejournal.com/92363.html?thread=659147#t659147,3/6/2012 7:56:09,3/6/2012 8:56:00,0
104137687,http://lex-kravetski.livejournal.com/412108.html?replyto=57189836,5/17/2012 14:39:47,5/17/2012 15:39:00,0
104138825,http://wyradhe.livejournal.com/242392.html?thread=6466520#t6466520,4/2/2012 16:04:16,4/2/2012 20:04:00,0
104179246,http://valdis-rus.livejournal.com/,10/20/2012,inapplicable,0
104222828,http://irek-murtazin.livejournal.com/619713.html?thread=15337921#t15337921,1/28/2012 17:00:00,1/28/2012 11:47:00,0
104623509,http://wyradhe.livejournal.com/219653.html?thread=5478405#t5478405,12/9/2011 20:28:15,12/9/2011 22:31:00,0
104648233,http://vadim-kirdyk.livejournal.com/495.html,3/19/2010,3/18/2010 22:19:00,0
104668703,http://telegraf.by/2012/10/top-10-belorusskih-politemigrantov,1/22/2012 11:13:00,10/28/2012 17:25:00,0
104669150,http://cuamckuykot.ru/i/lichnosti,4/13/2012 9:52:34,inapplicable,0
